proxy_price,rounded_lowest_each_way_price,number_of_nights,is_sales_fare,arr_city_name,trip_type,dep_lpf_city_airport_display,dep_airport_name,rounded_lowest_price,lowest_price,dep_city_name,arrival_airport,arr_lpf_city_airport_display,arrival_city,departure_airport,cabin,region_code,arr_airport_name,currency_code,tier_points,tier_points_per_pound
N,211,2,N,Sofia,RT,London (Heathrow),Heathrow,422,421.52,London,SOF,Sofia,SOF,LHR,C,EUK,Sofia,GBP,80.0,0.38
N,105,3,N,Basel,RT,London (Heathrow),Heathrow,209,208.62,London,BSL,Basel,BSL,LHR,C,EUK,Basel,GBP,40.0,0.38
N,211,5,N,Sofia,RT,London (Heathrow),Heathrow,421,420.52,London,SOF,Sofia,SOF,LHR,C,EUK,Sofia,GBP,80.0,0.38
N,107,5,N,Dublin,RT,London (City Airport),City Airport,214,213.09,London,DUB,Dublin,DUB,LCY,C,EUK,Dublin,GBP,40.0,0.38
N,107,2,N,Dublin,RT,London (City Airport),City Airport,214,213.09,London,DUB,Dublin,DUB,LCY,C,EUK,Dublin,GBP,40.0,0.38
N,209,3,N,Sofia,RT,London (Heathrow),Heathrow,418,417.52,London,SOF,Sofia,SOF,LHR,C,EUK,Sofia,GBP,80.0,0.38
N,107,1,N,Dublin,RT,London (City Airport),City Airport,214,213.09,London,DUB,Dublin,DUB,LCY,C,EUK,Dublin,GBP,40.0,0.38
N,105,6,N,Basel,RT,London (Heathrow),Heathrow,209,208.62,London,BSL,Basel,BSL,LHR,C,EUK,Basel,GBP,40.0,0.38
N,211,1,N,Reykjavik,RT,London (Heathrow),Heathrow,422,421.22,London,KEF,Reykjavik (Keflavik),REK,LHR,C,EUK,Keflavik,GBP,80.0,0.38
N,105,2,N,Billund,RT,London (Heathrow),Heathrow,210,209.72,London,BLL,Billund,BLL,LHR,C,EUK,Billund,GBP,40.0,0.38
N,210,1,N,Mykonos,RT,London (City Airport),City Airport,419,418.99,London,JMK,Mykonos,JMK,LCY,C,EUK,Mykonos,GBP,80.0,0.38
N,212,3,N,Mykonos,RT,London (City Airport),City Airport,423,422.99,London,JMK,Mykonos,JMK,LCY,C,EUK,Mykonos,GBP,80.0,0.38
N,106,7,N,Dublin,RT,London (Heathrow),Heathrow,212,211.37,London,DUB,Dublin,DUB,LHR,C,EUK,Dublin,GBP,40.0,0.38
