proxy_price,rounded_lowest_each_way_price,number_of_nights,is_sales_fare,arr_city_name,trip_type,dep_lpf_city_airport_display,dep_airport_name,rounded_lowest_price,lowest_price,dep_city_name,arrival_airport,arr_lpf_city_airport_display,arrival_city,departure_airport,cabin,region_code,arr_airport_name,currency_code
Y,427,7,N,Cape Town,RT,London (Gatwick),Gatwick,853,852.98,London,CPT,Cape Town,CPT,LGW,M,AFR,Cape Town,GBP
N,73,7,N,Catania,RT,London (Gatwick),Gatwick,146,145.98,London,CTA,Catania,CTA,LGW,M,EUK,Catania,GBP
N,62,7,N,Chambery,RT,London (City Airport),City Airport,123,122.79,London,CMF,Chambery,CMF,LCY,M,EUK,Chambery,GBP
N,85,7,N,Chania,RT,London (Heathrow),Heathrow,169,168.19,London,CHQ,Chania,CHQ,LHR,M,EUK,Chania,GBP
N,272,7,N,Chennai,RT,London (Heathrow),Heathrow,543,542.29,London,MAA,Chennai,MAA,LHR,M,SAS,Chennai,GBP
N,248,7,N,Chicago,RT,London (Heathrow),Heathrow,495,494.09,London,ORD,Chicago (O'Hare International),CHI,LHR,M,NOA,O'Hare International,GBP
N,266,7,N,Cincinnati,RT,London (Heathrow),Heathrow,532,531.09,London,CVG,Cincinnati (Cincinnati/N Kentucky International),CVG,LHR,M,NOA,Cincinnati/N Kentucky International,GBP
N,46,7,N,Cologne,RT,London (Heathrow),Heathrow,91,90.69,London,CGN,Cologne (Cologne/Bonn),CGN,LHR,M,EUK,Cologne/Bonn,GBP
N,40,7,N,Copenhagen,RT,London (Heathrow),Heathrow,79,78.29,London,CPH,Copenhagen,CPH,LHR,M,EUK,Copenhagen,GBP
N,66,7,N,Corfu,RT,London (Heathrow),Heathrow,132,131.79,London,CFU,Corfu,CFU,LHR,M,EUK,Ioannis Kapodistrias,GBP
N,92,7,N,Cork,RT,London (Heathrow),Heathrow,183,182.14,London,ORK,Cork,ORK,LHR,M,,Cork,GBP
N,56,7,N,Corsica,RT,London (Heathrow),Heathrow,111,110.19,London,FSC,Corsica,FSC,LHR,M,EUK,Figari,GBP
N,130,7,N,Crete,RT,London (Gatwick),Gatwick,260,259.68,London,HER,Crete,HER,LGW,M,EUK,Heraklion,GBP
N,86,7,N,Dalaman,RT,London (Gatwick),Gatwick,172,171.38,London,DLM,Dalaman,DLM,LGW,M,EUK,Dalaman,GBP
N,387,7,N,Dallas,RT,London (Heathrow),Heathrow,773,772.09,London,DFW,Dallas (Dallas Ft Worth),DFW,LHR,M,NOA,Dallas Ft Worth,GBP
N,275,7,N,Denver,RT,London (Heathrow),Heathrow,550,549.09,London,DEN,Denver (Denver International),DEN,LHR,M,NOA,Denver International,GBP
N,261,7,N,Doha,RT,London (Heathrow),Heathrow,522,521.19,London,DOH,Doha,DOH,LHR,M,MDE,Doha,GBP
N,242,7,N,Dubai,RT,London (Heathrow),Heathrow,483,482.79,London,DXB,Dubai,DXB,LHR,M,MDE,Dubai,GBP
N,26,7,N,Dublin,RT,London (Heathrow),Heathrow,52,51.14,London,DUB,Dublin,DUB,LHR,M,EUK,Dublin,GBP
N,66,7,N,Dubrovnik,RT,London (Gatwick),Gatwick,132,131.28,London,DBV,Dubrovnik,DBV,LGW,M,EUK,Dubrovnik,GBP
N,48,7,N,Dusseldorf,RT,London (Heathrow),Heathrow,95,94.69,London,DUS,Dusseldorf,DUS,LHR,M,EUK,Dusseldorf,GBP
N,33,7,N,Edinburgh,RT,London (Heathrow),Heathrow,66,65.41,London,EDI,Edinburgh,EDI,LHR,M,EUK,Edinburgh,GBP
N,43,7,N,Faro,RT,London (Gatwick),Gatwick,86,85.28,London,FAO,Faro,FAO,LGW,M,EUK,Faro,GBP
Y,53,7,N,Florence,RT,London (Stansted),Stansted,106,105.66,London,FLR,Florence,FLR,STN,M,EUK,Peretola,GBP
N,53,7,N,Frankfurt,RT,London (Heathrow),Heathrow,105,104.09,London,FRA,Frankfurt,FRA,LHR,M,EUK,Frankfurt,GBP
N,58,7,N,Fuerteventura,RT,London (Gatwick),Gatwick,116,115.48,London,FUE,Fuerteventura,FUE,LGW,M,EUK,Fuerteventura,GBP
N,74,7,N,Funchal,RT,London (Gatwick),Gatwick,147,146.48,London,FNC,Funchal,FNC,LGW,M,EUK,Madeira,GBP
N,44,7,N,Geneva,RT,London (Gatwick),Gatwick,87,86.88,London,GVA,Geneva,GVA,LGW,M,EUK,Geneva,GBP
N,274,7,N,Georgetown,RT,London (Gatwick),Gatwick,547,546.88,London,GEO,Georgetown,GEO,LGW,M,SOA,Georgetown,GBP
N,37,7,N,Gibraltar,RT,London (Heathrow),Heathrow,74,73.99,London,GIB,Gibraltar,GIB,LHR,M,EUK,Gibraltar,GBP
N,31,7,N,Glasgow,RT,London (Heathrow),Heathrow,62,61.42,London,GLA,Glasgow,GLA,LHR,M,EUK,Glasgow,GBP
N,41,7,N,Gothenburg,RT,London (Heathrow),Heathrow,81,80.19,London,GOT,Gothenburg,GOT,LHR,M,EUK,Gothenburg,GBP
N,60,7,N,Gran Canaria,RT,London (Gatwick),Gatwick,119,118.18,London,LPA,Gran Canaria,LPA,LGW,M,EUK,Gran Canaria,GBP
N,384,7,N,Grand Cayman,RT,London (Heathrow),Heathrow,767,766.29,London,GCM,Grand Cayman,GCM,LHR,M,SOA,Grand Cayman,GBP
N,254,7,N,Grenada,RT,London (Gatwick),Gatwick,508,507.68,London,GND,Grenada,GND,LGW,M,SOA,Grenada,GBP
N,42,7,N,Hamburg,RT,London (Heathrow),Heathrow,83,82.09,London,HAM,Hamburg,HAM,LHR,M,EUK,Hamburg,GBP
N,48,7,N,Hannover,RT,London (Heathrow),Heathrow,96,95.89,London,HAJ,Hannover (Hannover),HAJ,LHR,M,EUK,Hannover,GBP
N,141,7,N,Helsinki,RT,London (Heathrow),Heathrow,282,281.09,London,HEL,Helsinki,HEL,LHR,M,EUK,Helsinki,GBP
N,282,7,N,Hong Kong,RT,London (Heathrow),Heathrow,564,563.79,London,HKG,Hong Kong,HKG,LHR,M,FEA,Hong Kong,GBP
N,394,7,N,Houston,RT,London (Heathrow),Heathrow,787,786.09,London,IAH,Houston (George Bush Intercont),HOU,LHR,M,NOA,George Bush Intercont,GBP
N,238,7,N,Hyderabad,RT,London (Heathrow),Heathrow,475,474.79,London,HYD,Hyderabad,HYD,LHR,M,SAS,Rajiv Gandhi Intl,GBP
Y,49,7,N,Ibiza,RT,London (Stansted),Stansted,97,96.76,London,IBZ,Ibiza,IBZ,STN,M,EUK,Ibiza,GBP
N,54,7,N,Innsbruck,RT,London (Heathrow),Heathrow,107,106.89,London,INN,Innsbruck (Kranebitten),INN,LHR,M,EUK,Kranebitten,GBP
N,34,7,N,Inverness,RT,London (Heathrow),Heathrow,68,67.18,London,INV,Inverness,INV,LHR,M,EUK,Inverness,GBP
Y,294,7,N,Islamabad,RT,London (Gatwick),Gatwick,587,586.68,London,ISB,Islamabad,ISB,LGW,M,SAS,Islamabad,GBP
N,117,7,N,Isle of Man,RT,London (Heathrow),Heathrow,233,232.54,London,IOM,Isle of Man,IOM,LHR,M,EUK,Isle of Man,GBP
N,62,7,N,Istanbul,RT,London (Heathrow),Heathrow,124,123.09,London,SAW,Istanbul (Sabiha Gokcen International),IST,LHR,M,EUK,Sabiha Gokcen International,GBP
N,79,7,N,Izmir,RT,London (Heathrow),Heathrow,158,157.09,London,ADB,Izmir (Adnan Menderes),IZM,LHR,M,EUK,Adnan Menderes,GBP
